,Fin de vie,,,,,,,,,,,,,,,,,,,
Données équipements,PEF-ADPe,PEF-ADPf ,PEF-AP,PEF-CTUe ,PEF-CTUh-c ,PEF-CTUh-nc ,PEF-Epf ,PEF-Epm ,PEF-Ept ,PEF-GWP ,PEF-GWPb ,PEF-GWPf ,PEF-GWPlu ,PEF-IR ,PEF-LU ,PEF-ODP ,PEF-PM ,PEF-POCP ,PEF-WU ,MIPS 
Terminaux (personnel),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Gateway 4G/5G,"4,37E-05","2,41E+02","2,91E-01","6,33E+03","2,71E-08","2,22E-06","5,42E-04","1,85E-01","1,66E-01","1,92E+01","8,71E-01","1,83E+01","0,00E+00","1,05E+00","5,19E+01","1,62E-06","9,51E-07","5,74E-02","0,00E+00","1,01E+02"
Backbone,,,,,,,,,,,,,,,,,,,,
Equipement WDM backbone,"1,97E-04","1,78E+03","3,12E+00","7,40E+04","2,65E-07","2,40E-05","3,95E-03","2,13E+00","1,42E+00","1,64E+02","7,77E+00","1,56E+02","0,00E+00","7,58E+00","4,95E+02","1,23E-05","8,02E-06","5,14E-01","0,00E+00","6,41E+02"
Routeur P-PE-Peering,"1,47E-03","8,57E+03","9,58E+00","2,03E+05","9,66E-07","7,38E-05","1,99E-02","5,96E+00","5,83E+00","6,82E+02","3,08E+01","6,51E+02","0,00E+00","3,83E+01","1,77E+03","5,70E-05","3,25E-05","1,97E+00","0,00E+00","3,89E+03"
MME /SGSN ,"3,28E-04","2,35E+03","2,98E+00","6,90E+04","2,62E-07","2,23E-05","4,57E-03","1,93E+00","1,71E+00","1,99E+02","8,18E+00","1,91E+02","0,00E+00","1,48E+01","6,14E+02","1,54E-05","9,34E-06","5,85E-01","0,00E+00","8,20E+02"
SP-GW /GGSN ,"4,28E-05","7,51E+02","1,80E+00","4,48E+04","1,37E-07","1,38E-05","1,53E-03","1,28E+00","7,10E-01","8,06E+01","3,78E+00","7,68E+01","0,00E+00","2,99E+00","2,62E+02","5,43E-06","3,96E-06","2,67E-01","0,00E+00","1,80E+02"
Agregation& Backbone,,,,,,,,,,,,,,,,,,,,
Fibre optique 2 brins,"2,95E-11","8,87E-03","4,69E-06","3,80E-03","4,01E-13","2,57E-12","3,98E-07","1,72E-06","1,88E-05","6,38E-04","0,00E+00","6,38E-04","0,00E+00","1,03E-05","0,00E+00","6,52E-12","3,15E-11","4,95E-06","1,69E-05","5,14E-03"
Fibre optique 12 brins,"1,91E-10","6,75E-02","1,77E-04","3,27E-03","7,96E-14","1,57E-11","1,83E-09","4,20E-05","4,61E-04","5,33E-03","0,00E+00","5,33E-03","0,00E+00","1,11E-05","0,00E+00","6,97E-12","9,35E-10","1,19E-04","1,76E-05","2,17E-03"
Fibre optique 24 brins,"1,93E-10","6,82E-02","1,78E-04","3,30E-03","8,05E-14","1,59E-11","1,85E-09","4,25E-05","4,66E-04","5,39E-03","0,00E+00","5,39E-03","0,00E+00","1,12E-05","0,00E+00","7,04E-12","9,45E-10","1,20E-04","1,78E-05","2,20E-03"
Fibre optique 48 brins,"1,97E-10","6,97E-02","1,82E-04","3,37E-03","8,22E-14","1,62E-11","1,89E-09","4,34E-05","4,75E-04","5,51E-03","0,00E+00","5,51E-03","0,00E+00","1,14E-05","0,00E+00","7,19E-12","9,65E-10","1,22E-04","1,82E-05","2,24E-03"
Fibre optique 72 brins,"2,01E-10","7,11E-02","1,86E-04","3,44E-03","8,39E-14","1,66E-11","1,93E-09","4,43E-05","4,85E-04","5,62E-03","0,00E+00","5,62E-03","0,00E+00","1,17E-05","0,00E+00","7,34E-12","9,85E-10","1,25E-04","1,85E-05","2,29E-03"
Fibre optique 96 brins,"2,05E-10","7,26E-02","1,90E-04","3,52E-03","8,56E-14","1,69E-11","1,97E-09","4,52E-05","4,95E-04","5,74E-03","0,00E+00","5,74E-03","0,00E+00","1,19E-05","0,00E+00","7,49E-12","1,01E-09","1,27E-04","1,89E-05","2,34E-03"
Fibre optique 144 brins,"2,13E-10","7,55E-02","1,97E-04","3,66E-03","8,91E-14","1,76E-11","2,05E-09","4,70E-05","5,15E-04","5,97E-03","0,00E+00","5,97E-03","0,00E+00","1,24E-05","0,00E+00","7,79E-12","1,05E-09","1,33E-04","1,97E-05","2,43E-03"
Fibre optique 288 brins,"2,37E-10","8,41E-02","2,20E-04","4,07E-03","9,92E-14","1,96E-11","2,29E-09","5,24E-05","5,74E-04","6,64E-03","0,00E+00","6,64E-03","0,00E+00","1,38E-05","0,00E+00","8,68E-12","1,16E-09","1,48E-04","2,19E-05","2,71E-03"
Fibre optique 576 brins,"2,88E-10","1,02E-01","2,66E-04","4,93E-03","1,20E-13","2,37E-11","2,77E-09","6,35E-05","6,95E-04","8,05E-03","0,00E+00","8,05E-03","0,00E+00","1,67E-05","0,00E+00","1,05E-11","1,41E-09","1,79E-04","2,66E-05","3,28E-03"
Fibre optique 720 brins,"3,13E-10","1,11E-01","2,90E-04","5,36E-03","1,31E-13","2,58E-11","3,01E-09","6,90E-05","7,56E-04","8,75E-03","0,00E+00","8,75E-03","0,00E+00","1,82E-05","0,00E+00","1,14E-11","1,53E-09","1,94E-04","2,89E-05","3,57E-03"
