,Distribution,,,,,,,,,,,,,,,,,,,
Données équipements,PEF-ADPe,PEF-ADPf ,PEF-AP,PEF-CTUe ,PEF-CTUh-c ,PEF-CTUh-nc ,PEF-Epf ,PEF-Epm ,PEF-Ept ,PEF-GWP ,PEF-GWPb ,PEF-GWPf ,PEF-GWPlu ,PEF-IR ,PEF-LU ,PEF-ODP ,PEF-PM ,PEF-POCP ,PEF-WU ,MIPS 
Terminaux (personnel),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MME /SGSN ,"2,38E-06","8,39E+02","2,33E+00","4,07E+01","9,88E-10","2,02E-07","2,29E-05","5,49E-01","6,03E+00","6,70E+01","0,00E+00","6,70E+01","0,00E+00","1,37E-01","0,00E+00","8,62E-08","1,23E-05","1,55E+00","2,18E-01","2,70E+01"
SP-GW /GGSN ,"7,37E-07","2,60E+02","7,23E-01","1,26E+01","3,06E-10","6,25E-08","7,10E-06","1,70E-01","1,87E+00","2,08E+01","0,00E+00","2,08E+01","0,00E+00","4,26E-02","0,00E+00","2,67E-08","3,80E-06","4,81E-01","6,77E-02","8,38E+00"
Agregation& Backbone,,,,,,,,,,,,,,,,,,,,
Fibre optique 2 brins,"1,89E-10","6,69E-02","1,75E-04","3,24E-03","7,89E-14","1,56E-11","1,82E-09","4,16E-05","4,56E-04","5,28E-03","0,00E+00","5,28E-03","0,00E+00","1,10E-05","0,00E+00","6,90E-12","9,26E-10","1,17E-04","1,74E-05","2,15E-03"
Fibre optique 12 brins,"9,45E-10","3,34E-01","9,28E-04","1,62E-02","3,93E-13","8,02E-11","9,10E-09","2,18E-04","2,40E-03","2,66E-02","0,00E+00","2,66E-02","0,00E+00","5,46E-05","0,00E+00","3,43E-11","4,87E-09","6,17E-04","8,68E-05","1,08E-02"
Fibre optique 24 brins,"9,55E-10","3,37E-01","9,38E-04","1,64E-02","3,97E-13","8,11E-11","9,20E-09","2,21E-04","2,42E-03","2,69E-02","0,00E+00","2,69E-02","0,00E+00","5,52E-05","0,00E+00","3,47E-11","4,93E-09","6,23E-04","8,77E-05","1,09E-02"
Fibre optique 48 brins,"9,75E-10","3,44E-01","9,58E-04","1,67E-02","4,05E-13","8,28E-11","9,40E-09","2,25E-04","2,48E-03","2,75E-02","0,00E+00","2,75E-02","0,00E+00","5,64E-05","0,00E+00","3,54E-11","5,03E-09","6,37E-04","8,96E-05","1,11E-02"
Fibre optique 72 brins,"9,96E-10","3,52E-01","9,78E-04","1,71E-02","4,14E-13","8,45E-11","9,59E-09","2,30E-04","2,53E-03","2,81E-02","0,00E+00","2,81E-02","0,00E+00","5,76E-05","0,00E+00","3,61E-11","5,14E-09","6,50E-04","9,15E-05","1,13E-02"
Fibre optique 96 brins,"1,02E-09","3,59E-01","9,98E-04","1,74E-02","4,22E-13","8,63E-11","9,79E-09","2,35E-04","2,58E-03","2,87E-02","0,00E+00","2,87E-02","0,00E+00","5,88E-05","0,00E+00","3,69E-11","5,24E-09","6,63E-04","9,34E-05","1,16E-02"
Fibre optique 144 brins,"1,06E-09","3,73E-01","1,04E-03","1,81E-02","4,39E-13","8,97E-11","1,02E-08","2,44E-04","2,68E-03","2,98E-02","0,00E+00","2,98E-02","0,00E+00","6,11E-05","0,00E+00","3,83E-11","5,45E-09","6,90E-04","9,71E-05","1,20E-02"
